id,id_controle_contrato,entidade,contrato_numero,contrato_data_inicio,contrato_data_termino,contrato_data_assinatura,area,fornecedor_cnpj,fornecedor_razao_social,criado_em,atualizado_em,empresa_id
25520,3428,HRCAF,CTP87.2026.JUN.00553,2026-08-31 00:00:00-03:00,2027-08-30 23:59:59-03:00,2026-08-31 00:00:00-03:00,OPERAÇÕES,37284567000147,DANIEL HENRIQUE DE SOUZA BLASSL  08574032735,2026-09-08 00:31:20.738905-03:00,2026-09-08 00:31:20.738906-03:00,
25521,3117,HRCAF,CTS87.2026.MAR.00247,2026-09-17 00:00:00-03:00,2027-03-16 23:59:59-03:00,2026-08-25 00:00:00-03:00,ASSISTENCIAL,45900229000110,APP SERVIÇOS MÉDICOS LTDA,2026-09-08 00:31:20.738907-03:00,2026-09-08 00:31:20.738907-03:00,
25522,3118,HRCAF,CTS87.2026.MAR.00262,2026-09-17 00:00:00-03:00,2027-03-16 23:59:59-03:00,2026-08-31 00:00:00-03:00,ASSISTENCIAL,20724485000173,CENTRO DE OTORRINOLARINGOLOGIA BORTOLI LTDA,2026-09-08 00:31:20.738908-03:00,2026-09-08 00:31:20.738909-03:00,
25523,3119,HRCAF,CTS87.2026.MAR.00254,2026-09-17 00:00:00-03:00,2027-03-16 23:59:59-03:00,2026-08-25 00:00:00-03:00,ASSISTENCIAL,42789637000159,NEUROCOR SERVIÇOS MÉDICOS S/A,2026-09-08 00:31:20.738909-03:00,2026-09-08 00:31:20.738910-03:00,
25524,3437,HRCAF,CTP87.2026.JUN.00587,2026-09-03 00:00:00-03:00,2029-09-02 23:59:59-03:00,2026-09-03 00:00:00-03:00,OPERAÇÕES,04992697000185,NOVA RENKO INDUSTRIAL LTDA,2026-09-08 00:31:20.738911-03:00,2026-09-08 00:31:20.738911-03:00,
25525,3416,HRCAF,CTS87.2026.MAR.00329,2026-09-01 00:00:00-03:00,2029-08-31 23:59:59-03:00,2026-09-01 00:00:00-03:00,INFRAESTRUTURA,05165478000195,NACIONAL MONTAGEM ELEVADORES & CIA LTDA,2026-09-08 00:31:20.738912-03:00,2026-09-08 00:31:20.738912-03:00,
25526,3426,HRCAF,CTS87.2026.FEV.00188,2026-09-10 00:00:00-03:00,2029-09-09 23:59:59-03:00,2026-09-01 00:00:00-03:00,INFRAESTRUTURA,23129279000103,ORBIS GESTAO DE TECNOLOGIA EM SAUDE LTDA,2026-09-08 00:31:20.738913-03:00,2026-09-08 00:31:20.738914-03:00,
25527,3101,HRCAF,CTS87.2026.MAR.00257,2026-09-10 00:00:00-03:00,2027-03-09 23:59:59-03:00,2026-08-24 00:00:00-03:00,ASSISTENCIAL,11324166000180,ARRUDA SERVICOS HOSPITALARES LTDA,2026-09-08 00:31:20.738914-03:00,2026-09-08 00:31:20.738915-03:00,
25528,3108,HRCAF,CTS87.2026.MAR.00261,2026-09-16 00:00:00-03:00,2027-03-15 23:59:59-03:00,2026-08-24 00:00:00-03:00,ASSISTENCIAL,33044141000165,MEDCLIN SERVICOS MEDICOS LTDA,2026-09-08 00:31:20.738916-03:00,2026-09-08 00:31:20.738916-03:00,
25529,3109,HRCAF,CTS87.2026.MAR.00256,2026-09-17 00:00:00-03:00,2027-03-16 23:59:59-03:00,2026-08-18 00:00:00-03:00,ASSISTENCIAL,31331539000157,MULTIMED SERVICOS MEDICOS LTDA,2026-09-08 00:31:20.738917-03:00,2026-09-08 00:31:20.738917-03:00,
25530,3111,HRCAF,CTS87.2026.MAR.00252,2026-09-12 00:00:00-03:00,2027-03-12 23:59:59-03:00,2026-08-19 00:00:00-03:00,ASSISTENCIAL,22079423000181,NEOMED ATENDIMENTO HOSPITALAR HOLDING LTDA,2026-09-08 00:31:20.738918-03:00,2026-09-08 00:31:20.738919-03:00,
25531,3114,HRCAF,CTS87.2026.MAR.00263,2026-09-17 00:00:00-03:00,2027-03-16 23:59:59-03:00,2026-08-18 00:00:00-03:00,ASSISTENCIAL,46192291000168,BARROS SERVICOS DE CIRURGIA GERAL LTDA,2026-09-08 00:31:20.738919-03:00,2026-09-08 00:31:20.738920-03:00,
25532,3459,HRCAF,CTS87.2026.ABR.00364,2026-09-03 00:00:00-03:00,2029-09-02 23:59:59-03:00,2026-09-03 00:00:00-03:00,INFORMÁTICA,13387472000190,FONETALK SERVIÇOS DE TELEFONIA UNIPESSOAL LIMITADA,2026-09-08 00:31:20.738921-03:00,2026-09-08 00:31:20.738921-03:00,
25533,3212,UPA SUÀ,CTS86.2026.JAN.00087,2026-06-10 00:00:00-03:00,2027-06-09 23:59:59-03:00,2026-06-02 00:00:00-03:00,OPERAÇÕES AGIR,38311149000164,ARAUTOS SERVICOS TERCEIRIZADOS LTDA,2026-09-08 00:32:17.458836-03:00,2026-09-08 00:32:17.458841-03:00,12
25534,3164,UPA SUÀ,20250002.04430,2026-07-08 00:00:00-03:00,2026-09-07 23:59:59-03:00,2025-12-23 00:00:00-03:00,ASSISTENCIAL,35688028000148,MEDIMAGEM DIAGNÓSTICOS LTDA,2026-09-08 00:32:17.458842-03:00,2026-09-08 00:32:17.458843-03:00,12
25539,1929,AGIR,20210002.00838,2026-06-01 00:00:00-03:00,2026-08-31 23:59:59-03:00,2026-05-22 00:00:00-03:00,RECURSOS HUMANOS ,37381902000125,"REDE NACIONAL DE APRENDIZAGEM, PROMOÇÃO SOCIAL E INTEGRAÇÃO",2026-09-08 00:34:14.337401-03:00,2026-09-08 00:34:14.337407-03:00,
25540,1950,AGIR,20220002.00334-1,2026-06-22 00:00:00-03:00,2027-06-21 23:59:59-03:00,2026-06-05 00:00:00-03:00,EQUIPAMENTO DE INFORMATICA,53113791000122,TOTVS S/A,2026-09-08 00:34:14.337408-03:00,2026-09-08 00:34:14.337409-03:00,
25541,1963,AGIR,20210002.02697,2026-06-06 00:00:00-03:00,2027-06-05 23:59:59-03:00,2026-05-29 00:00:00-03:00,EQUIPAMENTO DE INFORMATICA,13387472000190,FONETALK SERVIÇOS DE TELEFONIA UNIPESSOAL LIMITADA,2026-09-08 00:34:14.337409-03:00,2026-09-08 00:34:14.337410-03:00,
25542,2977,AGIR,20250002.00275-1,2026-06-23 00:00:00-03:00,2027-06-22 23:59:59-03:00,2026-06-23 00:00:00-03:00,RECURSOS HUMANOS ,20211412000188,PLUXEE FROTA E COMBUSTIVEL BRASIL LTDA.,2026-09-08 00:34:14.337411-03:00,2026-09-08 00:34:14.337411-03:00,
25543,3229,AGIR,CTS99.2026.FEV.01827,2026-06-29 00:00:00-03:00,2027-07-28 23:59:59-03:00,2026-06-29 00:00:00-03:00,COMUNICAÇÃO,13106352000178,KNEWIN INTELIGÊNCIA EM RECUPERAÇÃO DE INFORMAÇÃO S.A,2026-09-08 00:34:14.337412-03:00,2026-09-08 00:34:14.337412-03:00,
25544,3240,AGIR,CTS99.2026.FEV.01826,2026-06-26 00:00:00-03:00,2027-06-25 23:59:59-03:00,2026-06-26 00:00:00-03:00,COMUNICAÇÃO,13106352000178,KNEWIN INTELIGÊNCIA EM RECUPERAÇÃO DE INFORMAÇÃO S.A,2026-09-08 00:34:14.337413-03:00,2026-09-08 00:34:14.337414-03:00,
25545,3324,AGIR,CTS99.2026.MAI.02038,2026-06-26 00:00:00-03:00,2027-06-25 23:59:59-03:00,2026-06-26 00:00:00-03:00,RECURSOS HUMANOS ,47827415000105,SAD CONSULTORIA LTDA,2026-09-08 00:34:14.337414-03:00,2026-09-08 00:34:14.337415-03:00,
25546,2457,AGIR,CTS99.2025.JAN.01094,2026-07-01 00:00:00-03:00,2027-06-30 23:59:59-03:00,2026-06-26 00:00:00-03:00,EQUIPAMENTO DE INFORMATICA,92306257000194,MV INFORMATICA NORDESTE LTDA,2026-09-08 00:34:14.337416-03:00,2026-09-08 00:34:14.337416-03:00,
25547,3335,AGIR,CTS99.2026.ABR.01997,2026-07-28 00:00:00-03:00,2027-07-27 23:59:59-03:00,2026-07-28 00:00:00-03:00,OPERAÇÕES AGIR,02121503000140,LLG BRASIL SERVIÇOS LTDA,2026-09-08 00:34:14.337417-03:00,2026-09-08 00:34:14.337418-03:00,
25548,3393,AGIR,CTS99.2026.MAI.02048,2026-07-31 00:00:00-03:00,2028-07-30 23:59:59-03:00,2028-07-31 00:00:00-03:00,RECURSOS HUMANOS ,48096003000105,ORATI TECNOLOGIA E SERVICOS LTDA.,2026-09-08 00:34:14.337418-03:00,2026-09-08 00:34:14.337419-03:00,
25549,1702,AGIR,20210002.00786,2026-07-21 00:00:00-03:00,2026-10-20 23:59:59-03:00,2026-07-16 00:00:00-03:00,SESMT,19876933000175,CENTRO-OESTE MEDICINA E SEGURANCA DO TRABALHO LTDA,2026-09-08 00:34:14.337419-03:00,2026-09-08 00:34:14.337420-03:00,
25550,2068,AGIR,CTS99.2024.MAI.00657,2026-08-02 00:00:00-03:00,2028-08-01 23:59:59-03:00,2026-07-22 00:00:00-03:00,OPERAÇÕES AGIR,68112747000175,VOICE TECHNOLOGY COMÉRCIO EXTERIOR LTDA,2026-09-08 00:34:14.337421-03:00,2026-09-08 00:34:14.337421-03:00,
25551,3373,AGIR,CTS99.2026.MAI.02041,2026-08-04 00:00:00-03:00,2029-08-03 23:59:59-03:00,2026-07-23 00:00:00-03:00,EQUIPAMENTO DE INFORMATICA,10554387000181,ISTI INFORMATICA & SERVICOS LTDA,2026-09-08 00:34:14.337422-03:00,2026-09-08 00:34:14.337422-03:00,
25552,3449,AGIR,99.2026CTS99.2026.MAR.01940,2026-08-27 00:00:00-03:00,2027-08-26 23:59:59-03:00,2026-08-27 00:00:00-03:00,SUPRIMENTOS CORPORATIVO,02323276000136,VERTICE CLINICA PHARMA LTDA,2026-09-08 00:34:14.337423-03:00,2026-09-08 00:34:14.337424-03:00,
25553,2538,AGIR,CTS99.2025.MAI.01286-1,2026-08-10 00:00:00-03:00,2027-08-09 23:59:59-03:00,2026-08-04 00:00:00-03:00,EQUIPAMENTO DE INFORMATICA,26329734000102,LINQ TELECOMUNICAÇOES LTDA,2026-09-08 00:34:14.337425-03:00,2026-09-08 00:34:14.337425-03:00,
25554,2614,AGIR,CTS99.2025.JUN.01359,2026-09-24 00:00:00-03:00,2027-09-23 23:59:59-03:00,2026-08-26 00:00:00-03:00,EQUIPAMENTO DE INFORMATICA,27217813000194,BITSEA TECNOLOGIA EM SOFTWARE S.A.,2026-09-08 00:34:14.337426-03:00,2026-09-08 00:34:14.337426-03:00,
25555,3319,AGIR,99.2026.02041.4,2026-09-02 00:00:00-03:00,2029-09-01 23:59:59-03:00,2026-09-02 00:00:00-03:00,EQUIPAMENTO DE INFORMATICA,10554387000181,ISTI INFORMATICA & SERVICOS LTDA,2026-09-08 00:34:14.337427-03:00,2026-09-08 00:34:14.337428-03:00,
25556,3355,AGIR,CTS99.2026.MAR.01896,2026-09-01 00:00:00-03:00,2027-08-31 23:59:59-03:00,2026-07-23 00:00:00-03:00,RECURSOS HUMANOS ,37381902000125,"REDE NACIONAL DE APRENDIZAGEM, PROMOÇÃO SOCIAL E INTEGRAÇÃO",2026-09-08 00:34:14.337428-03:00,2026-09-08 00:34:14.337429-03:00,
